epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4097,1.04441,3.05546,1.32127,0.47108,0.61897,0.48751,0.32391,0.57061,31.8965,0.7658,0.000331512,0.000331512,0.000331512
2,100.944,1.15599,2.3025,1.39112,0.55959,0.52534,0.52415,0.32516,0.64744,6.56345,0.80744,0.000651681,0.000651681,0.000651681
3,146.214,1.21264,1.97216,1.40934,0.43485,0.48352,0.45253,0.2545,0.72507,4.49843,0.85829,0.000958651,0.000958651,0.000958651
4,190.72,1.22872,1.72291,1.42777,0.68047,0.65056,0.69996,0.43662,0.68209,6.43534,0.8114,0.0009406,0.0009406,0.0009406
5,234.295,1.1592,1.48505,1.37618,0.76732,0.76425,0.78014,0.48389,0.65058,3.15034,0.77444,0.0009208,0.0009208,0.0009208
6,280.165,1.17409,1.35467,1.37133,0.7574,0.6514,0.72385,0.46963,0.63682,3.81462,0.77307,0.000901,0.000901,0.000901
7,323.839,1.14553,1.29733,1.36175,0.66366,0.64395,0.64449,0.39965,0.64511,10.7787,0.7734,0.0008812,0.0008812,0.0008812
8,367.164,1.10977,1.22318,1.3532,0.81144,0.7387,0.82284,0.55601,0.59495,0.79199,0.70845,0.0008614,0.0008614,0.0008614
9,411.951,1.05567,1.13139,1.31037,0.68606,0.66197,0.72738,0.47876,0.61553,2.20232,0.76235,0.0008416,0.0008416,0.0008416
10,455.328,1.07691,1.12728,1.30588,0.81959,0.78452,0.84767,0.58896,0.58643,2.11717,0.71396,0.0008218,0.0008218,0.0008218
11,502.272,1.05086,1.06796,1.29978,0.78005,0.75265,0.82709,0.57389,0.55821,2.90738,0.69162,0.000802,0.000802,0.000802
12,548.275,1.02812,1.03753,1.28602,0.80573,0.73128,0.82252,0.56099,0.55947,0.93002,0.68533,0.0007822,0.0007822,0.0007822
13,591.76,1.02069,1.01161,1.26798,0.83235,0.81598,0.88599,0.61891,0.53713,1.03535,0.66838,0.0007624,0.0007624,0.0007624
14,638.199,0.99855,0.97307,1.25542,0.86502,0.81107,0.89116,0.6317,0.53698,0.63198,0.68591,0.0007426,0.0007426,0.0007426
15,683.033,0.9978,0.95354,1.25951,0.8052,0.80466,0.87907,0.61966,0.53616,1.08517,0.67975,0.0007228,0.0007228,0.0007228
16,727.429,0.97217,0.90653,1.24711,0.87734,0.79624,0.87463,0.63122,0.51178,1.13737,0.67233,0.000703,0.000703,0.000703
17,772.977,0.96981,0.88113,1.23351,0.85376,0.76691,0.85629,0.62024,0.53262,1.00842,0.6816,0.0006832,0.0006832,0.0006832
18,817.357,0.94113,0.87106,1.22906,0.86559,0.85259,0.9061,0.64737,0.52978,1.17286,0.66457,0.0006634,0.0006634,0.0006634
19,861.97,0.94027,0.83645,1.22807,0.91563,0.84297,0.92672,0.68304,0.49807,0.97644,0.63882,0.0006436,0.0006436,0.0006436
20,905.81,0.93216,0.82999,1.22064,0.87572,0.81916,0.89988,0.65342,0.50215,0.66533,0.64488,0.0006238,0.0006238,0.0006238
21,949.563,0.91704,0.8137,1.19862,0.86399,0.81322,0.89384,0.65185,0.49802,1.25997,0.64421,0.000604,0.000604,0.000604
22,996.234,0.89784,0.79067,1.18882,0.87481,0.84964,0.92154,0.67528,0.5008,0.7633,0.6453,0.0005842,0.0005842,0.0005842
23,1040.14,0.90786,0.77446,1.19024,0.8632,0.82628,0.89774,0.65763,0.50204,0.89659,0.65887,0.0005644,0.0005644,0.0005644
24,1087.32,0.88348,0.76557,1.18573,0.89936,0.86398,0.93002,0.68821,0.49477,0.7356,0.63443,0.0005446,0.0005446,0.0005446
25,1135.2,0.88856,0.77108,1.18644,0.87295,0.86353,0.91891,0.68801,0.47768,0.76823,0.62511,0.0005248,0.0005248,0.0005248
26,1182.36,0.87002,0.76442,1.1746,0.84592,0.86253,0.91747,0.6944,0.47815,0.64156,0.62866,0.000505,0.000505,0.000505
27,1237.21,0.85983,0.73342,1.16639,0.89466,0.86362,0.92512,0.69957,0.4804,0.7652,0.61989,0.0004852,0.0004852,0.0004852
28,1287.25,0.86372,0.72369,1.15878,0.88531,0.88169,0.93088,0.69477,0.48487,0.48811,0.62442,0.0004654,0.0004654,0.0004654
29,1335.02,0.84985,0.69134,1.16113,0.90293,0.87873,0.94378,0.70926,0.46294,0.40582,0.61722,0.0004456,0.0004456,0.0004456
30,1382.63,0.84158,0.68904,1.15247,0.91774,0.87057,0.93885,0.71521,0.4603,0.36458,0.61359,0.0004258,0.0004258,0.0004258
31,1429.71,0.83028,0.69489,1.15194,0.90619,0.91009,0.94717,0.72518,0.45648,0.39925,0.60911,0.000406,0.000406,0.000406
32,1479.01,0.82311,0.65305,1.13135,0.92789,0.86209,0.93548,0.70748,0.46244,0.38194,0.61224,0.0003862,0.0003862,0.0003862
33,1528.48,0.82672,0.66384,1.13686,0.90315,0.87884,0.92984,0.71168,0.45668,0.39143,0.61528,0.0003664,0.0003664,0.0003664
34,1586.37,0.78384,0.62814,1.10978,0.92433,0.90465,0.95603,0.71733,0.47404,0.39726,0.62462,0.0003466,0.0003466,0.0003466
35,1643.58,0.80084,0.63929,1.13323,0.90182,0.90174,0.94863,0.73327,0.45065,0.36363,0.60672,0.0003268,0.0003268,0.0003268
36,11785.4,0.78795,0.61451,1.11626,0.91862,0.86993,0.94593,0.72058,0.45712,0.49845,0.60549,0.000307,0.000307,0.000307
37,11815.3,0.78593,0.59433,1.10775,0.90879,0.86388,0.94614,0.7324,0.44588,0.33901,0.60405,0.0002872,0.0002872,0.0002872
38,11845.3,0.76879,0.60266,1.10427,0.90789,0.89447,0.94886,0.7391,0.44334,0.43489,0.59449,0.0002674,0.0002674,0.0002674
39,11875.8,0.77007,0.60403,1.10247,0.91437,0.89922,0.94959,0.73424,0.44642,0.38572,0.59594,0.0002476,0.0002476,0.0002476
40,11906.8,0.75509,0.59305,1.09308,0.91682,0.89779,0.94839,0.73414,0.44887,0.35234,0.60412,0.0002278,0.0002278,0.0002278
41,11959.9,0.74248,0.50248,1.06509,0.89561,0.89926,0.93818,0.72118,0.44993,0.34006,0.61042,0.000208,0.000208,0.000208
42,11990.8,0.72453,0.46696,1.06209,0.8944,0.90061,0.94631,0.7333,0.4425,0.33746,0.5999,0.0001882,0.0001882,0.0001882
43,12021.4,0.71755,0.47811,1.0515,0.92138,0.89882,0.95773,0.73854,0.44482,0.30917,0.60175,0.0001684,0.0001684,0.0001684
44,12052,0.70181,0.45693,1.04379,0.94584,0.89458,0.95545,0.73827,0.4401,0.29914,0.59885,0.0001486,0.0001486,0.0001486
45,12082.8,0.6896,0.43832,1.02462,0.92761,0.90121,0.95243,0.74943,0.43677,0.28696,0.59826,0.0001288,0.0001288,0.0001288
46,12113.8,0.67289,0.42295,1.02022,0.9269,0.91912,0.95575,0.75003,0.43744,0.32277,0.5998,0.000109,0.000109,0.000109
47,12144.2,0.67094,0.41664,1.01718,0.92766,0.90423,0.9528,0.74392,0.43554,0.29804,0.59311,8.92e-05,8.92e-05,8.92e-05
48,12174.6,0.65907,0.42181,1.0201,0.92923,0.91164,0.96229,0.75739,0.43164,0.31228,0.58843,6.94e-05,6.94e-05,6.94e-05
49,12205.1,0.64429,0.39629,0.9967,0.93095,0.90872,0.96329,0.76079,0.43185,0.28995,0.58892,4.96e-05,4.96e-05,4.96e-05
50,12235.4,0.6421,0.39268,0.98885,0.94007,0.91234,0.96461,0.75993,0.43085,0.28065,0.59009,2.98e-05,2.98e-05,2.98e-05
